4160	5173	1
5173	4160	1
4160	5301	1
5301	4160	1
4160	760	1
760	4160	1
4160	4272	1
4272	4160	1
4160	2284	1
2284	4160	1
4160	2250	1
2250	4160	1
1921	2887	1
2887	1921	1
1921	5246	1
5246	1921	1
1921	2084	1
1921	5228	1
1921	4272	1
4272	1921	1
1921	2250	1
2250	1921	1
5173	5301	1
5301	5173	1
5173	760	1
760	5173	1
5173	4272	1
4272	5173	1
5173	2284	1
2284	5173	1
5173	2250	1
2250	5173	1
1129	1516	1
1129	4541	1
1129	3889	1
1129	2566	1
1129	2181	1
1129	557	1
1129	3306	1
1129	5746	1
1129	3752	1
1129	2173	1
1129	325	1
1129	5687	1
1129	2798	1
1129	1783	1
1129	2369	1
1129	3915	1
1129	5901	1
1129	3572	1
1129	1570	1
1129	2423	1
1129	3504	1
1129	3638	1
1129	4166	1
4166	1129	1
4873	3889	1
4873	3752	1
4873	2798	1
4873	3572	1
3029	694	1
3029	1408	1
3029	5564	1
3029	4124	1
3029	3387	1
3029	328	1
3029	1540	1
3029	5766	1
5766	3029	1
3029	2474	1
3143	2652	1
3143	837	1
3143	5421	1
3143	1328	1
3143	3353	1
5301	760	1
760	5301	1
5301	4272	1
4272	5301	1
5301	2284	1
2284	5301	1
5301	2250	1
2250	5301	1
4764	3941	1
5766	694	1
5766	1408	1
5766	5564	1
5766	4124	1
5766	3387	1
5766	328	1
5766	1540	1
5766	2474	1
760	4272	1
4272	760	1
760	2284	1
2284	760	1
3125	1177	1
3125	5174	1
3125	1635	1
1066	2876	1
2876	1066	1
1066	2410	1
1066	2480	1
2480	1066	1
1066	2307	1
2307	1066	1
1066	5667	1
5667	1066	1
2284	4272	1
4272	2284	1
2284	2250	1
2250	2284	1
2250	2887	1
2250	5246	1
2250	2084	1
2250	5228	1
2250	760	1
2250	4272	1
4272	2250	1
4213	1066	1
1066	4213	1
2480	5328	1
2480	2307	1
2307	2480	1
2480	5667	1
5667	2480	1
5604	4531	1
1441	1700	1
1441	3784	1
1441	1030	1
1441	4126	1
1441	5068	1
1517	1451	1
1517	3087	1
1517	1883	1
1517	5473	1
1517	2828	1
1517	2437	1
2013	1889	1
2013	3591	1
2304	3134	1
2304	4127	1
2304	5412	1
2304	1349	1
2304	5768	1
2304	2734	1
2304	1511	1
2304	4750	1
2304	1489	1
2304	1699	1
2304	2727	1
2346	4018	1
2491	4059	1
2701	5108	1
2701	4035	1
2701	3725	1
2701	3571	1
2701	4381	1
2701	4615	1
2701	318	1
2701	5744	1
2701	5632	1
2701	1754	1
2701	4704	1
2701	5586	1
2701	2398	1
2701	2165	1
2701	2725	1
2701	3692	1
2701	3850	1
2701	2979	1
2701	3578	1
2701	2643	1
2701	2094	1
2701	477	1
2701	4076	1
2701	4650	1
2701	1251	1
2701	5829	1
2701	5437	1
2722	4818	1
2722	2829	1
3070	1370	1
3070	2450	1
3070	1708	1
3273	5012	1
3273	3772	1
3273	1303	1
3273	4340	1
3389	2182	1
3497	3684	1
3497	5240	1
3593	5116	1
3593	1866	1
3593	4531	1
3652	3229	1
3690	3249	1
3690	4428	1
3750	644	1
3750	2986	1
